,ItemID,Sentiment,SentimentText
300000,300012,0,@martiningram that's a brilliant idea! only one buzz though 
300001,300013,0,@MartiniPink Tired.. 
300002,300014,0,@martinirwin we tried our best but the government didn't listen i'm afraid 
300003,300015,1,@martinjgale mr hopkins and i will be better behaved tonite .. cultural evening of a haydn concert in gothic cathedral 
300004,300016,0,"@martinjmurray Grr, it's coming down heavy now "
300005,300017,1,"@martinjon putting together mural squares with http://Artreachatlillstreet.org not painting per se, but wear grubbies, promises to be "
300006,300018,1,@martinjxHYO We'd love to! But someone would need to book us  Why not talk to your council/youth centre?
300007,300019,1,@MartinLewis77 Will make a nice change 
300008,300020,1,"@martinlindell oh yeah, that monkey sure is getting his freak on "
300009,300021,0,"@MartinOrton Dude, we're still on MS Office 2003 "
300010,300022,0,@MartinOrton I can't - it's compnay standard  CORPORATES suck!!!
300011,300023,0,"@MartinOrton I have a problem - maybe you can help me... I am using twitter on web &amp; the trash, reply &amp; favourite selectiosn are gone "
300012,300024,0,@MartinOrton Still got get into TweetDeck website. Am trying Twhirl but really still prefer the web... if only it worked properly 
300013,300025,0,@martinpacker please post everything you consider interesting. I couldn't get permission for this trip 
300014,300026,1,@martinpacker That's a nice message  Sun in BOE too - have to work now anyway
300015,300027,1,"@martinparets I find it funny that we are both awake right now, but you are in PST and I'm in EST.  Can someone say &quot;launch day&quot;?  "
300016,300028,1,@mcblaze80 Just got it TODAY!!!  I'm scared to really play it because it's so new and pretty - I don't want to hurt it or scratch it. lol
300017,300029,0,"@mcbreathe it sucks  when its 1:15am &amp; you have to get up by 10 to drive an hour to see your cousin&amp;you can't sleep...yeah, that's me blah"
300018,300030,0,@mcbumrash i dont expect you to no way  i just want talk this over like adults
300019,300031,0,@Mcbumrash Oh that sucks  xxx
300020,300032,0,@MCbutterflyfan btw JESS.... i cant get on today...  sorry!! but i LOVE U!!
300021,300033,1,@MCbutterflyfan I LUV THIS SONG! Freakin' great 
300022,300034,1,@MCbutterflyfan lol mine!!! AND O LOVE YOU TOOO!!!! 
300023,300035,0,@MCbutterflyfan ok.. yeah tell me later.. imma be worryin all day!! ok i gtg  srry!!! but ill b on later!! GOOD LUCK ON DE GAME!!! LUVU!!!
300024,300036,1,@Mcbuttersticks - MY WOMAN  
300025,300037,1,"@McCainBlogette again, very sweet to have those moments w  ur Dad &amp; to share them. cherish them. "
300026,300038,1,@McCainBlogette Any tips worth tweeting? 
300027,300039,1,@McCainBlogette as long as China keeps buying Americas debt and My mom being 100%Swedish I'm not going to worry. Damn foreigners 
300028,300040,1,@McCainBlogette Auction them and donate the proceeds to your favorite charity; or donate them to be auctioned 
300029,300041,1,"@McCainBlogette great song...thanks for posting that....oh, and I agree "
300030,300042,1,@McCainBlogette haha. I knew I loved your family for many reasons. Speak your mind Meghan 
300031,300043,1,@McCainBlogette Head over to the nearest Walgreens.  You need ear plugs and beer STAT.  
300032,300044,1,@McCainBlogette hey you need to do a college tour... make sure to come to UC Davis 
300033,300045,0,@McCainBlogette hope your brother doesn't catch socialism from hand to hand contact  http://myloc.me/1nZN
300034,300046,1,"@McCainBlogette I'd go with something to show I'm friendly; have many Star Wars, Star Trek and X-files shirts.  I'm a nerd, can you tell? "
300035,300047,1,@McCainBlogette love this about you Meghan :] keep it real and be yourself! love you 
300036,300048,1,@McCainBlogette Nothing wrong with a swear here and there 
300037,300049,0,@McCainBlogette wouldn't you rather be at home? 
300038,300050,1,@McCainBlogette you go girl 
300039,300051,1,@McCainBlogette You're right about those vans. Ready to find someone to ticket. It is their job though. Some people have back luck.  lol
300040,300052,0,@mccanner : sadness.   my heart goes out to you. 'tis a pain to go back to have it re-done.
300041,300053,1,"@McCarron what?!?!? No more matches?!?!? Oh well, what did you think of it? I'm already calling it GOTY for PS3 "
300042,300054,0,@McCarron you stopped working on a keynote bingo app? 
300043,300055,0,@mccartd1 You fail at tweeting. 
300044,300056,0,@mccasey_1977 no   i need some hugs!!when they come back to the UK i am so going 5*.need them to come back soon!!x
300045,300057,0,@mccasland OF COURSE ja-nine is posing right in front and making another album cover for herself in the pic.  Only thing missing?  Me. 
300046,300058,0,@mccatfly do mine for me ? 
300047,300059,1,"@McCAttack Yes, it was a very full day.   "
300048,300060,1,"@McChelsea get a glass of wine, a nice book, and just chillax out there.  oh wait, it's seattle, i'll probably rain. hah "
300049,300061,1,@McChickie I believe you.I just thought I'd  point it out  This 'get lots of followers' thing is almost as annoying as the brittney vids.
300050,300062,0,@kaiterz3000 haha thats exactly how i felt when i got back from arizona. it sucks 
300051,300063,1,@kaitfoley  so nice to see her loving life again after feeling so crummy.
300052,300064,1,@kaitfoley BTW love emily haines too!  (just sayin)
300053,300065,1,"@kaitgoesrawr26 I concur- I don't know what my all time favourite is though- it may be bugsy malone  haha great movie, seen it?"
300054,300066,1,"@kaitgoesrawr26 yeah, same  haha- hows the writing going btw? any ideas?"
300055,300067,0,@Kaitikins Can't. My phone internet is being slow 
300056,300068,0,@Kaitikins sad face!  such a sad day in history
300057,300069,1,@kaitiml2 and will you bid on it?? I bet you will.. 
300058,300070,1,@KaitiRambles I've got to get there when you're working and bring Kaci. We love the zoo..  Weekend plans??
300059,300071,0,"@kaitjuneand I still haven't watched....it's been WEEKS.....no, MONTHS! "
300060,300072,1,"@Kaitlin2_2 I usually do my own hair too- saves money. BUT I love going to my stylist, in fact, I need to schedule an appt. now. "
300061,300073,0,"@Kaitlin2_2 Well, I went to one and ended up staying. Surprise Bday party for me. Now I am sure others are mad at me. "
300062,300074,0,@KaitlinBrenna  that's how I've been. friday I felt pretty good. then yesterday I felt like poop again and today? WORSE. wtf man.
300063,300075,1,@KaitlinHiggins see you there! 
300064,300076,0,@kaitlinkaboom Oh .. I thought you meant just in general xD Nah I'm not watching it 
300065,300077,0,"@KaitlinMS Yop is only sold in the UK, Ireland, France, Switzerland, and Canada (go wiki).  We have similar drinks in the US but not Yop "
300066,300078,1,@kaitlinnichols // go to bed for a few days and do nothing but watch movies...that's what I did!  praying for you!
300067,300079,0,@kaitlinsharpe Please excuse the faux tweet. It was decided thereafter that we would stay home. Looks like neither of us will enjoy 
300068,300080,0,@kaitlinurka I'm sorry to hear that 
300069,300081,0,@kaitlo BUT U HAVE CASH U CAN GIVE HER 
300070,300082,1,"@kaitlo me too  and i too love you &lt;3 i love @mfhband, yeah!"
300071,300083,1,@KaitlynBrown123 completely. i am the ultimate peter pan fan :3 once i played tinkerbell in a musical and i'll never forget those moments 
300072,300084,1,"@kaitlyncarterd haha it's okay, your mom is paying me to be your friend. "
300073,300085,0,"@kaitlynedwards aw that sucks  yeah i dunno aye, pretty sure it would be, yeah im going. were they good when you went?"
300074,300086,0,@KaitlynFierce i love youu!&lt;33 we haven't talked in sooo long 
300075,300087,1,"@kaitlynmaher http://twitpic.com/5vh0n - You're an inspiration, keep it up sweetpea "
300076,300088,0,"@kaitlynmassey I'm sorry, maybe bacon? Maybe?  http://is.gd/yjMt"
300077,300089,1,@kaitlynnoelle oh ok thanks 
300078,300090,1,@kaitlynschutza Hahah turn that frown upside down 
300079,300091,1,@KaitlynStoll i knew you would! 
300080,300092,0,@kaitlyntrucks ok i didnt get a chance to buy it yet  and i was just wondering. cause i didnt know if it was just a walmart thing or what
300081,300093,1,@kaitnolan LOL! Is this a twitter app? Please take screen capture and send! I need to tune into my sci-fi side a little more. 
300082,300094,1,"@kaitnolan Thanks, I am really thrilled with it. It's so steampunky! "
300083,300095,1,@KaitoKamui  dig in i has more where it cames from the driver of the limo said its part of the deal.   yes i can shares 
300084,300096,1,"@KaitorTot I meant 2 tell u earlier I read it &amp; loved it! awesome job, girl! "
300085,300097,1,@martinpolley @docbaty Thanks for the walk estimates. I'll let you know tomorrow how long it actually takes me 
300086,300098,1,"@martinpolley Then count me in, depending on time and place and nothing unexpected coming up "
300087,300099,1,@martinpribble  #redredheadhead
300088,300100,0,@martinrstone  Were you aware of this? http://bit.ly/hJjfA Think winners  were biased towards technology rather than content 
300089,300101,1,@martinsandoval gooooooooooooood  haha i'm /ssharpay 'n /aslovatorings ! do u know them? just 1 question ! see? haha
300090,300102,1,@martinsandoval how r u? my internet is baaack finally 
300091,300103,1,@martinsandoval: your background is soo cool ! 
300092,300104,0,@martinsays nooooooooooooooooooooooooooooooooooooooooooooooooooo what if he dies 
300093,300105,1,@martinschecter your knowledge of X-men is starting to scare me 
300094,300106,0,@martinsmith how was doves mate? Did you have a good time? Last day of holiday today 
300095,300107,1,@MartinSmithTV I pray everything goes awesome 4 u in Rome!! God is definitely doing awesome things through u   CompassionArt is amazing!
300096,300108,1,"@MartinStarr I wish. One day, when I can take a vacation. Or get furloughed. Whichever comes first. "
300097,300109,1,@martinvars #musicindustry #cssp - u mean fragmented and ruled by gangsters? 
300098,300110,0,@martinvars sorry couldn't come this time  China bound.
300099,300111,0,"@martinvovk Doh! Fail  Still, you have an iPhone. That is good."
300100,300112,1,@martinwaxman @ginidietrich FWIW I can see you 
300101,300113,0,"@martinwaxman: @LesleyChang Last time I programmed was in perl in 97 and it was ugly code, so not me "
