,Unnamed: 0,Unnamed: 0.1,ItemID,Sentiment,SentimentText
0,100000,100000,100012,1,@cupcakecowgrrl annnnd the innernet 
1,100001,100001,100013,0,"@Cupcakee89 hecks yeah I want to go, but then I'm not sure, cause I don't want to have a sunburn for the wedding "
2,100002,100002,100014,1,@CupcakeGoth I squeek 
3,100003,100003,100015,0,@cupcakejar B-B-B-BECAUSEEEEEEEEEE................. 
4,100004,100004,100016,0,@CupcakeJonasBro #jbyoutubesuspended  Retweet as you have been doing - we're going to get it back! 
5,100005,100005,100017,0,"@cupcakekiki it failed! im just burnt!  and omg, missed the hills by accident! thankgod for +1"
6,100006,100006,100018,1,"@Cupcakekiss poor cat, you'll have to wrap him/her in bubble wrap "
7,100007,100007,100019,1,@cupcakeloser Thankies honey! 
8,100008,100008,100020,1,"@cupcakelovely Aw, thanks for that. "
9,100009,100009,100021,0,@cupcakemafia Feel better - I am coming down with some kind of funk as well 
10,100010,100010,100022,1,"@cupcakemafia I wear it with my biking shorts, people laugh I give them a &quot;f@ck you&quot; look, sometimes it's good to be big and 6'1&quot; "
11,100011,100011,100023,0,"@cupcakemafia ouch  rest up, cupcake. sooooup.  Feel better!"
12,100012,100012,100024,1,"@cupcakemafia Thanks, knew I could count on you for that "
13,100013,100013,100025,0,"@cupcakemafia That's awful.  Viparita karani and ginger-honey tea? And sleep, of course."
14,100014,100014,100026,0,@cupcakemafia wull I hate to hear 'bout an awesome chickie playing hood ornament  You doing ok?
15,100015,100015,100027,1,@CupcakeNicki I could have told you about the swelling too... But you STILL would have done it! 
16,100016,100016,100028,0,@Cupcakeqween i miss you gutsss 
17,100017,100017,100029,0,@Cupcakeqween lmao I'm lost with u and chong. Mad bored hmmmmph 
18,100018,100018,100030,0,@cupcakerehab that's my size  
19,100019,100019,100031,1,@CupcakesDLish What time does your hubby's band go on??? I think I found someone to come with me 
20,100020,100020,100032,1,"@cupcakesfortwo How are you, Mrs Karlson? "
21,100021,100021,100033,1,@cupcakesfortwo looking forward to it 
22,100022,100022,100034,1,@cupcakesfortwo Please go to sleep hon 
23,100023,100023,100035,1,@cupcakeskill YOU ARE A RETARD! haha bet you're just dreading it without me 
24,100024,100024,100036,0,@cupcakestop is right by my office! i want to go over so bad 
25,100025,100025,100037,1,@CupCate happy birthday 
26,100026,100026,100038,1,"@CupCate Happy Birthday   Have a great day, and many more to come."
27,100027,100027,100039,1,@cupcate Happy Birthday lovely. Such a beautiful day for it too! 
28,100028,100028,100040,1,@CupCate Happy birthday! hope you have a good one 
29,100029,100029,100041,1,@cupcate happy birthday! What a gorgeous day you're getting  have fun xx
30,100030,100030,100042,0,@cupidalaska nope not in NY - should be but ya knows. i need muchos makeovers my nails are damn awful. boy troubles are the worst. 
31,100031,100031,100043,1,@cupidalaska Theme parks are always a fun time!!! so is sleeping in bed! 
32,100032,100032,100044,0,@Cupidboi79 I saw this one CSI I think like Miami with this really hot bear guy. Then I never saw it again 
33,100033,100033,100045,0,@cupidshotme the message for the titans? hahaha okay but I wanna go that  I extinguished the fire too hehe
34,100034,100034,100046,1,@cupiexcake depends on if i can do warped or not this year  if so i'll be there!
35,100035,100035,100047,1,@cupnoodles @tiensoon my Indo frend told me there many leng lui also wor .. 
36,100036,100036,100048,0,@cupofbees  You got my hopes up and failed to deliver..
37,100037,100037,100049,0,"@cuppy Damn.. I missed out this time.. Logged in, but you were apparently all done.. DOH! Sorry! "
38,100038,100038,100050,1,"@cuppy Had I the time to spare, I'd play Darkfall personally "
39,100039,100039,100051,1,@cuppy let me know what sims 3 is like please 
40,100040,100040,100052,1,@Cuppycake143 nothings wrong bit imy and I hope you're doing goood 
41,100041,100041,100053,0,@Cuppycake21 Outlook not so good 
42,100042,100042,100054,1,"@cuppycakee i agree on the star trek movie, although ive never seen a single episode it looks epic!  also, goodnight! &lt;3"
43,100043,100043,100055,0,@curb_cuisine no trifecta for me tonight  Something about how we should be seated for our anniversary dinner... See you tomorrow?
44,100044,100044,100056,1,"@curdbee Yeah just did it again.   Good luck.   Otherwise, the service is great thus far."
45,100045,100045,100057,1,@CurieDang Haha dude! same here! it's always been one of my favorite disney movies!! 
46,100046,100046,100058,1,"@Curioddities lol, no, no idea mastadon meant that.    Learn something new every day! Now if I could only shake the mental image..."
47,100047,100047,100059,1,@Curiositwitty Hi - Thanks for the tweet and follow  Hope you're enjoying the weather. Is it cooler in the museum than it is in my office?
48,100048,100048,100060,0,@curiosity_shop hey why you haven't followed me back kafey ? 
49,100049,100049,100061,1,@Curious_LiS Ð¿Ð¸ÑÑ Ð½Ð°Ð´Ð° Ð¼ÐµÐ½ÑÑÐµ 
50,100050,100050,100062,0,@curious_scribe bummer  I hope someone is taking good care of you x
51,100051,100051,100063,1,"@curious1966 Not sure, depends on who wants a piece of the Critic. This republican chick almost got it last night, but she was an idiot. "
52,100052,100052,100064,1,@curiouscow its 1 now 
53,100053,100053,100065,1,@curiousheidihi I miss you too  And don't forget that you're completely totally awesome!
54,100054,100054,100066,0,@curiousidiot: well that's a bummer mine usually don't but tday will  ugh
55,100055,100055,100067,0,@Bebz_iddon blerrrrrrrrrrgh. im too hot and all sticky 
56,100056,100056,100068,1,"@bec_batty doing nothing, far too hot lol. Heat &amp; me don't get on very well, so got portable aircon blasting &amp; playing on laptop "
57,100057,100057,100069,0,"@bec_batty Sorry about that  but happens to us all at times ! Yes, even us. lol"
58,100058,100058,100070,0,"@bec_kie would love to, will keep you posted on my whereabouts, looks like I'm in Melbourne for less than 24 hours though "
59,100059,100059,100071,0,@bec_r1039 oh thats not good hunny 
60,100060,100060,100072,0,@bec0074 I hope all the crocheting is going well - I haven't touched mine in a couple of days 
61,100061,100061,100073,1,@bec0074 TV - it's just started overseas 
62,100062,100062,100074,1,@Bec93 i would but im shocking at science 
63,100063,100063,100075,0,@Bec93 LOL I want to just sleep through all of next week!... but thats not going to happen 
64,100064,100064,100076,1,@Bec93 thats alright  where you playing sport 2moz?
65,100065,100065,100077,1,@BecaBear @Mezhead Trip to Italy to met RP and KS!!!!!!!!!!!!!! I plan on checking it out next week when it starts 
66,100066,100066,100078,1,@BecaBear 1000 = make sure it has the word poo or balls in it  Underbelly DOES suck balls... I gave up on it in wk 3.
67,100067,100067,100079,1,"@BecaBear Damnation. ok. well, you keep the boys entertained ;-) and I'll join in when I get home "
68,100068,100068,100080,1,"@BecaBear Do I have to pic shit up now, or can I wait til I am sober?? lol. I ? you "
69,100069,100069,100081,1,@BecaBear It was good to go catch up  made a tattoo date for Sunday evening... yay!!! But I am saving the paw prints for when we go ;-)
70,100070,100070,100082,1,@BecaBear lol #NoUndiesSunday @ work.. lol... dm if you please 
71,100071,100071,100083,1,@BecaBear lol... I will let it know! Bed time for Wiz Bang... night 
72,100072,100072,100084,0,"@BecaBear Lucky!! I want to shop   Have fun, Buttons "
73,100073,100073,100085,1,@BecaBear Night Buttons 
74,100074,100074,100086,1,"@becanson essentially, you have to keep following your home page/news feed page "
75,100075,100075,100087,0,"@becauseiknewyou - looks like we're gonna miss Earnie!  She's on 6th/7th/8th, epic fail!"
76,100076,100076,100088,0,"@becauseiknewyou Fail postie, fail!  We'll decorate them when I'm home from la Canada! We're missing the three legs on our vests!"
77,100077,100077,100089,0,@BecauseUAreHere no they hurt  and I'm allergic to the adhesive
78,100078,100078,100090,1,"@BecauseUAreHere that's a beautiful dog!  Mine ain't so prettty, :S She's like half a cocker and half a poodle, haha. Bless"
79,100079,100079,100091,1,"@becca_darling @fluffyvulture appreciate ... thought ... but ... vaguely unsettling... ---soaring, thinking about your day! good dreams! "
80,100080,100080,100092,1,@Becca_Pammy21 rofl im trying to follow as many celebs as i can 
81,100081,100081,100093,1,@becca_shoe aww...glad I can help 
82,100082,100082,100094,0,@becca_shoe ouch...its like a jail cell u can't get out of... 
83,100083,100083,100095,0,@Beccaaarr i know! stupid facebook wont let me sign in 
84,100084,100084,100096,0,@beccaalves it's attractive in some cultures. 
85,100085,100085,100097,1,@BeccaarrFJJP i like your face 
86,100086,100086,100098,1,"@BeccaB67 and I do appreciate the compliment, thank you. It's very sweet of you to say.. "
87,100087,100087,100099,1,@beccabarakitty awwwe who cares what they doooo bexi i think you should go ahead and do it! he'll love it!! haha 
